Date,Price D,3 Month D,1 Yr D,5 Yr D,10 Yr D,US Dollar D
2009-04-01,1.94,0.02,-0.05,0.26,0.34,-0.82
2009-05-01,9.30,0.01,0.04,0.67,0.59,-4.18
2009-06-01,10.41,0.00,-0.06,-0.35,-0.31,-0.30
2009-07-01,-5.39,0.00,0.00,0.22,0.18,-1.78
2009-08-01,6.83,-0.05,-0.07,-0.31,-0.34,-0.18
2009-09-01,-1.68,-0.05,-0.03,-0.03,-0.01,-1.52
2009-10-01,6.39,-0.02,-0.07,-0.21,-0.16,-0.35
2009-11-01,2.18,0.01,0.07,0.22,0.36,-1.42
2009-12-01,-3.35,0.00,-0.04,0.01,-0.06,2.98
2010-01-01,3.78,0.05,0.02,0.00,0.13,1.60
2010-02-01,-2.09,0.05,0.07,0.19,0.22,0.90
2010-03-01,4.95,0.01,0.05,0.15,0.12,0.71
2010-04-01,3.25,-0.01,-0.09,-0.51,-0.59,0.80
2010-05-01,-10.75,-0.03,-0.04,-0.08,-0.05,4.72
2010-06-01,1.61,0.03,-0.04,-0.31,-0.33,-0.57
2010-07-01,0.81,0.00,-0.02,-0.22,-0.18,-4.48
2010-08-01,0.44,-0.01,-0.01,-0.12,-0.17,1.66
2010-09-01,-1.34,-0.02,-0.03,-0.22,-0.11,-4.48
2010-10-01,6.64,0.00,0.01,0.10,0.09,-1.45
2010-11-01,2.29,0.00,0.05,0.62,0.64,3.93
2010-12-01,5.03,0.01,-0.02,0.05,0.08,-2.17
2011-01-01,0.29,-0.02,0.01,0.25,0.17,-1.29
2011-02-01,-0.14,-0.03,-0.01,-0.03,0.02,-0.85
2011-03-01,13.55,-0.04,-0.02,-0.05,-0.12,-1.03
2011-04-01,7.13,-0.02,-0.06,-0.31,-0.27,-2.93
2011-05-01,-8.79,0.00,0.00,-0.18,-0.02,1.71
2011-06-01,-5.00,0.00,0.00,-0.11,-0.14,-0.34
2011-07-01,0.94,-0.01,-0.06,-0.45,-0.56,-0.40
2011-08-01,-10.87,-0.01,-0.01,-0.16,-0.42,0.23
2011-09-01,-0.70,0.00,0.01,0.15,0.16,4.42
2011-10-01,0.79,-0.01,-0.01,-0.19,-0.22,-2.38
2011-11-01,10.66,0.00,0.01,0.03,0.06,2.22
2011-12-01,1.55,0.02,-0.01,-0.09,-0.10,1.78
2012-01-01,1.54,0.06,0.05,0.03,0.09,-0.89
